COMMON,STANDARD
14TH,BROAD
B F,BENJAMIN FRANKLIN
BEN FRANKLIN,BENJAMIN FRANKLIN
BEN FRANK, BENJAMIN FRANKLIN
BENJ FRANKLIN,BENJAMIN FRANKLIN
COLUMBUS,CHRISTOPHER COLUMBUS
CHRIS COLUMBUS,CHRISTOPHER COLUMBUS
FRANKLINTOWN,FRANKLIN TOWN
FRANKLINTOWNE,FRANKLIN TOWN
INDPNC,INDEPENDENCE
INDPDNC,INDEPENDENCE
J F KENNEDY,JOHN F KENNEDY
J F K,JOHN F KENNEDY
JF KENNEDY,JOHN F KENNEDY
JFK,JOHN F KENNEDY
M L KING,MARTIN LUTHER KING JR
DR KING,MARTIN LUTHER KING JR
PKWY,BENJAMIN FRANKLIN
PARKWAY,BENJAMIN FRANKLIN
THE PARKWAY,BENJAMIN FRANKLIN
THE PKWY,BENJAMIN FRANKLIN
