street_predir,street_name,street_suffix,street_postdir
N,10TH,ST,
S,10TH,ST,
N,11TH,ST,
S,11TH,ST,
N,12TH,ST,
S,12TH,ST,
N,13TH,ST,
S,13TH,ST,
N,15TH,ST,
S,15TH,ST,
N,16TH,ST,
S,16TH,ST,
N,17TH,ST,
S,17TH,ST,
N,18TH,ST,
S,18TH,ST,
N,19TH,ST,
S,19TH,ST,
N,20TH,ST,
S,20TH,ST,
N,21ST,ST,
S,21ST,ST,
N,22ND,ST,
S,22ND,ST,
N,23RD,ST,
S,23RD,ST,
N,24TH,ST,
S,24TH,ST,
N,25TH,ST,
S,25TH,ST,
N,26TH,ST,
S,26TH,ST,
N,27TH,ST,
S,27TH,ST,
N,28TH,ST,
S,28TH,ST,
N,29TH,ST,
S,29TH,ST,
N,2ND,ST,
S,2ND,ST,
N,30TH,ST,
S,30TH,ST,
N,31ST,ST,
S,31ST,ST,
N,32ND,ST,
S,32ND,ST,
N,33RD,ST,
S,33RD,ST,
N,34TH,ST,
S,34TH,ST,
N,35TH,ST,
S,35TH,ST,
N,36TH,ST,
S,36TH,ST,
N,37TH,ST,
S,37TH,ST,
N,38TH,ST,
S,38TH,ST,
N,39TH,ST,
S,39TH,ST,
N,3RD,ST,
S,3RD,ST,
N,40TH,ST,
S,40TH,ST,
N,41ST,ST,
S,41ST,ST,
N,42ND,ST,
S,42ND,ST,
N,43RD,ST,
S,43RD,ST,
N,44TH,ST,
S,44TH,ST,
N,45TH,ST,
S,45TH,ST,
N,46TH,ST,
S,46TH,ST,
N,47TH,ST,
S,47TH,ST,
N,48TH,ST,
S,48TH,ST,
N,49TH,ST,
S,49TH,ST,
N,4TH,ST,
S,4TH,ST,
N,50TH,ST,
S,50TH,ST,
N,51ST,ST,
S,51ST,ST,
N,52ND,ST,
S,52ND,ST,
N,53RD,ST,
S,53RD,ST,
N,54TH,ST,
S,54TH,ST,
N,55TH,ST,
S,55TH,ST,
N,56TH,ST,
S,56TH,ST,
N,57TH,ST,
S,57TH,ST,
N,58TH,ST,
S,58TH,ST,
N,59TH,ST,
S,59TH,ST,
N,5TH,ST,
S,5TH,ST,
N,5TH ST,TUNL,
N,60TH,ST,
S,60TH,ST,
N,61ST,ST,
S,61ST,ST,
N,62ND,ST,
S,62ND,ST,
N,63RD,ST,
S,63RD,ST,
E,64TH,AVE,
W,64TH,AVE,
N,64TH,ST,
S,64TH,ST,
E,65TH,AVE,
W,65TH,AVE,
N,65TH,ST,
S,65TH,ST,
N,66TH,ST,
S,66TH,ST,
N,67TH,ST,
S,67TH,ST,
N,68TH,ST,
S,68TH,ST,
N,69TH,ST,
S,69TH,ST,
N,6TH,ST,
S,6TH,ST,
N,70TH,ST,
S,70TH,ST,
N,71ST,ST,
S,71ST,ST,
N,72ND,ST,
S,72ND,ST,
S,73RD,ST,
S,74TH,ST,
N,75TH,ST,
S,75TH,ST,
N,76TH,ST,
S,76TH,ST,
N,77TH,ST,
S,77TH,ST,
S,78TH,ST,
N,7TH,ST,
S,7TH,ST,
S,80TH,ST,
S,81ST,ST,
S,82ND,ST,
S,83RD,ST,
S,84TH,ST,
S,85TH,ST,
S,86TH,ST,
S,88TH,ST,
S,89TH,ST,
N,8TH,ST,
S,8TH,ST,
S,90TH,ST,
N,9TH,ST,
S,9TH,ST,
E,ABBOTTSFORD,AVE,
W,ABBOTTSFORD,AVE,
E,ABINGTON,AVE,
W,ABINGTON,AVE,
E,AIRDRIE,ST,
W,AIRDRIE,ST,
E,ALBANUS,ST,
W,ALBANUS,ST,
E,ALBERT,ST,
W,ALBERT,ST,
N,ALDEN,ST,
S,ALDEN,ST,
N,ALDER,ST,
S,ALDER,ST,
E,ALLEGHENY,AVE,
W,ALLEGHENY,AVE,
E,ALLEN,ST,
W,ALLEN,ST,
E,ALLENS,LN,
W,ALLENS,LN,
N,ALLISON,ST,
S,ALLISON,ST,
N,AMERICAN,ST,
S,AMERICAN,ST,
E,ANN,ST,
E,ANNSBURY,ST,
W,ANNSBURY,ST,
E,ARIZONA,ST,
W,ARIZONA,ST,
E,ARMAT,ST,
W,ARMAT,ST,
E,ASHDALE,ST,
W,ASHDALE,ST,
N,ASHMEAD,PL,
S,ASHMEAD,PL,
E,ASHMEAD,ST,
W,ASHMEAD,ST,
E,ATLANTIC,ST,
W,ATLANTIC,ST,
E,AUBURN,ST,
W,AUBURN,ST,
N,AVONDALE,ST,
S,AVONDALE,ST,
N,BAILEY,ST,
S,BAILEY,ST,
N,BAMBREY,ST,
S,BAMBREY,ST,
N,BANCROFT,ST,
S,BANCROFT,ST,
N,BEECHWOOD,ST,
S,BEECHWOOD,ST,
E,BELLS MILL,RD,
W,BELLS MILL,RD,
E,BERKS,ST,
W,BERKS,ST,
S,BEULAH,ST,
E,BIRCH,LN,
E,BIRCH,ST,
W,BIRCH,ST,
N,BODINE,ST,
S,BODINE,ST,
N,BONSALL,ST,
S,BONSALL,ST,
E,BOSTON,ST,
W,BOSTON,ST,
N,BOUVIER,ST,
S,BOUVIER,ST,
E,BRINGHURST,ST,
W,BRINGHURST,ST,
E,BRISTOL,ST,
W,BRISTOL,ST,
N,BROAD,ST,
S,BROAD,ST,
N,BUCKNELL,ST,
S,BUCKNELL,ST,
E,BUTLER,ST,
W,BUTLER,ST,
E,CABOT,ST,
W,CABOT,ST,
W,CALVERT,ST,
N,CAMAC,ST,
S,CAMAC,ST,
E,CAMBRIA,ST,
W,CAMBRIA,ST,
N,CANTERBURY,RD,
S,CANTERBURY,RD,
N,CAPITOL,ST,
S,CAPITOL,ST,
E,CAREY,ST,
W,CAREY,ST,
N,CARLISLE,ST,
S,CARLISLE,ST,
E,CAYUGA,ST,
W,CAYUGA,ST,
N,CECIL,ST,
S,CECIL,ST,
N,CHADWICK,ST,
